SampleID,Plant,Fungi
60plus_RP_pos_MS2,CTRL,1246
59plus_RP_pos_MS2,CTRL,1154
58plus_RP_pos_MS2,ERLE,1154
57plus_RP_pos_MS2,CTRL,1246
56plus_RP_pos_MS2,BOCU,1246
55plus_RP_pos_MS2,LEDU,CTRL
54plus_RP_pos_MS2,LEDU,CTRL
53plus_RP_pos_MS2,ERIN,1177
52plus_RP_pos_MS2,BOCU,1246
51plus_RP_pos_MS2,ERLE,1246
50plus_RP_pos_MS2,BOCU,CTRL
49plus_RP_pos_MS2,ERIN,1246
48plus_RP_pos_MS2,LEDU,CTRL
47plus_RP_pos_MS2,CTRL,1177
46plus_RP_pos_MS2,CTRL,1154
45plus_RP_pos_MS2,LEDU,1154
44plus_RP_pos_MS2,BOCU,1154
43plus_RP_pos_MS2,ERIN,1154
42plus_RP_pos_MS2,ERIN,1154
41plus_RP_pos_MS2,CTRL,CTRL
40plus_RP_pos_MS2,CTRL,CTRL
39plus_RP_pos_MS2,ERIN,1177
38plus_RP_pos_MS2,BOCU,1177
37plus_RP_pos_MS2,ERLE,1246
36plus_RP_pos_MS2,ERIN,CTRL
35plus_RP_pos_MS2,LEDU,1246
34plus_RP_pos_MS2,ERLE,1177
33plus_RP_pos_MS2,BOCU,1177
32plus_RP_pos_MS2,ERLE,CTRL
31plus_RP_pos_MS2,BOCU,CTRL
30plus_RP_pos_MS2,ERLE,1154
29plus_RP_pos_MS2,LEDU,1246
28plus_RP_pos_MS2,ERLE,CTRL
27plus_RP_pos_MS2,LEDU,1177
26plus_RP_pos_MS2,LEDU,1246
25plus_RP_pos_MS2,ERIN,CTRL
24plus_RP_pos_MS2,ERLE,1177
22plus_RP_pos_MS2,BOCU,CTRL
21plus_RP_pos_MS2,LEDU,1177
20plus_RP_pos_MS2,ERIN,1154
19plus_RP_pos_MS2,CTRL,1246
18plus_RP_pos_MS2,BOCU,1154
17plus_RP_pos_MS2,ERIN,CTRL
16plus_RP_pos_MS2,ERLE,CTRL
15plus_RP_pos_MS2,BOCU,1177
14plus_RP_pos_MS2,CTRL,1177
13plus_RP_pos_MS2,ERLE,1246
12plus_RP_pos_MS2,ERLE,1177
11plus_RP_pos_MS2,ERIN,1246
10plus_RP_pos_MS2,CTRL,1154
9plus_RP_pos_MS2,ERLE,1154
8plus_RP_pos_MS2,ERIN,1246
7plus_RP_pos_MS2,BOCU,1154
6plus_RP_pos_MS2,LEDU,1177
5plus_RP_pos_MS2,LEDU,1154
4plus_RP_pos_MS2,BOCU,1246
3plus_RP_pos_MS2,LEDU,1154
2plus_RP_pos_MS2,CTRL,CTRL
1plus_RP_pos_MS2,ERIN,1177
