"","plant_sp","fungal_id","means","sd","plant_type","final_div_initial","diff"
"1","*B. curtipendula*","1154",-0.530639730666667,0.266138774488006,"Isolate + native plant",0,-0.333333333333333
"2","*B. curtipendula*","1154",-0.530639730666667,0.266138774488006,"Isolate + native plant",0.1,-0.425252525333333
"3","*B. curtipendula*","1154",-0.530639730666667,0.266138774488006,"Isolate + native plant",0.1,-0.833333333333333
"4","*B. curtipendula*","1177",-0.543023066944444,0.338330951356355,"Isolate + native plant",0,-0.362402534166667
"5","*B. curtipendula*","1177",-0.543023066944444,0.338330951356355,"Isolate + native plant",0,-0.333333333333333
"6","*B. curtipendula*","1177",-0.543023066944444,0.338330951356355,"Isolate + native plant",0,-0.933333333333333
"7","*B. curtipendula*","1246",-0.206996130944444,0.161340782826292,"Isolate + native plant",0.1,-0.262402534166667
"8","*B. curtipendula*","1246",-0.206996130944444,0.161340782826292,"Isolate + native plant",0.5,-0.0252525253333333
"9","*B. curtipendula*","1246",-0.206996130944444,0.161340782826292,"Isolate + native plant",0,-0.333333333333333
"10","*E. intermedia*","1154",-0.201194269944444,0.238525755321924,"Isolate + native plant",0.095238095,-0.430014430333333
"11","*E. intermedia*","1154",-0.201194269944444,0.238525755321924,"Isolate + native plant",0.379310345,0.0459770116666667
"12","*E. intermedia*","1154",-0.201194269944444,0.238525755321924,"Isolate + native plant",0.142857143,-0.219545391166667
"13","*E. intermedia*","1177",-0.606996130944444,0.294112235639731,"Isolate + native plant",0,-0.933333333333333
"14","*E. intermedia*","1177",-0.606996130944444,0.294112235639731,"Isolate + native plant",0,-0.525252525333333
"15","*E. intermedia*","1177",-0.606996130944444,0.294112235639731,"Isolate + native plant",0,-0.362402534166667
"16","*E. intermedia*","1246",-0.196873496666667,0.268644332380868,"Isolate + native plant",0.272727273,-0.252525252333333
"17","*E. intermedia*","1246",-0.196873496666667,0.268644332380868,"Isolate + native plant",0.5,-0.433333333333333
"18","*E. intermedia*","1246",-0.196873496666667,0.268644332380868,"Isolate + native plant",0.428571429,0.0952380956666667
"19","*E. lehmanniana*","1154",0.190811677055556,0.365436250830341,"Isolate + non-native plant",0.756756757,-0.176576576333333
"20","*E. lehmanniana*","1154",0.190811677055556,0.365436250830341,"Isolate + non-native plant",0.916666667,0.554264132833333
"21","*E. lehmanniana*","1154",0.190811677055556,0.365436250830341,"Isolate + non-native plant",0.72,0.194747474666667
"22","*E. lehmanniana*","1177",-0.474499379666667,0.486201342367237,"Isolate + non-native plant",0,-0.933333333333333
"23","*E. lehmanniana*","1177",-0.474499379666667,0.486201342367237,"Isolate + non-native plant",0.368421053,0.0350877196666667
"24","*E. lehmanniana*","1177",-0.474499379666667,0.486201342367237,"Isolate + non-native plant",0,-0.525252525333333
"25","*E. lehmanniana*","1246",0.256249158388889,0.240496261047142,"Isolate + non-native plant",0.695652174,0.362318840666667
"26","*E. lehmanniana*","1246",0.256249158388889,0.240496261047142,"Isolate + non-native plant",0.787878788,0.425476253833333
"27","*E. lehmanniana*","1246",0.256249158388889,0.240496261047142,"Isolate + non-native plant",0.914285714,-0.0190476193333333
"28","*L. dubia*","1154",-0.0430230669444444,0.502832131344411,"Isolate + native plant",0.6,-0.333333333333333
"29","*L. dubia*","1154",-0.0430230669444444,0.502832131344411,"Isolate + native plant",0,-0.333333333333333
"30","*L. dubia*","1154",-0.0430230669444444,0.502832131344411,"Isolate + native plant",0.9,0.537597465833333
"31","*L. dubia*","1177",-0.406996130944444,0.103439285185405,"Isolate + native plant",0,-0.525252525333333
"32","*L. dubia*","1177",-0.406996130944444,0.103439285185405,"Isolate + native plant",0,-0.333333333333333
"33","*L. dubia*","1177",-0.406996130944444,0.103439285185405,"Isolate + native plant",0,-0.362402534166667
"34","*L. dubia*","1246",0.393003869055556,0.294112235639731,"Isolate + native plant",1,0.474747474666667
"35","*L. dubia*","1246",0.393003869055556,0.294112235639731,"Isolate + native plant",1,0.0666666666666667
"36","*L. dubia*","1246",0.393003869055556,0.294112235639731,"Isolate + native plant",1,0.637597465833333
